time,temp_degC,precip_mm,irrad_W_m2
2025-06-06T07:50:00Z,16.1,0.3,64
2025-06-06T08:00:00Z,16.3,1.1,86
2025-06-06T08:20:00Z,16.2,0.4,119
2025-06-06T08:30:00Z,16.8,0.1,119
2025-06-06T08:40:00Z,16.2,0.0,104
2025-06-06T09:00:00Z,16.6,0.0,156
2025-06-06T09:20:00Z,17.0,0.0,178
2025-06-06T09:20:00Z,17.0,0.0,181
2025-06-06T09:50:00Z,17.6,0.0,404
2025-06-06T10:00:00Z,18.3,0.0,722
2025-06-06T10:20:00Z,19.0,0.0,623
2025-06-06T10:30:00Z,18.3,0.0,454
2025-06-06T10:50:00Z,19.0,0.0,507
2025-06-06T11:00:00Z,19.2,0.0,530
2025-06-06T11:20:00Z,19.4,0.0,557
2025-06-06T11:30:00Z,19.5,0.0,471
2025-06-06T11:50:00Z,20.7,0.0,592
2025-06-06T12:00:00Z,21.4,0.0,711
2025-06-06T12:20:00Z,21.9,0.0,959
2025-06-06T12:30:00Z,22.2,0.0,991
2025-06-06T12:50:00Z,21.9,0.0,760
2025-06-06T13:00:00Z,22.0,0.0,791
2025-06-06T13:20:00Z,22.6,0.0,872
2025-06-06T13:20:00Z,22.6,0.0,917
2025-06-06T13:50:00Z,22.3,0.0,374
2025-06-06T14:00:00Z,23.5,0.0,562
2025-06-06T14:20:00Z,22.9,0.0,541
2025-06-06T14:30:00Z,22.8,0.0,338
2025-06-06T22:50:00Z,18.0,0.0,0
2025-06-06T23:00:00Z,18.0,0.0,0
2025-06-06T23:20:00Z,18.0,0.0,0
2025-06-06T23:30:00Z,17.8,0.0,0
