time,temp_degC,precip_mm,irrad_W_m2
2025-06-18T07:50:00Z,21.7,0.0,601
2025-06-18T08:00:00Z,23.5,0.0,625
2025-06-18T08:20:00Z,22.7,0.0,705
2025-06-18T08:20:00Z,22.7,0.0,732
2025-06-18T08:50:00Z,23.5,0.0,804
2025-06-18T09:00:00Z,23.3,0.0,663
2025-06-18T09:20:00Z,24.4,0.0,780
2025-06-18T09:20:00Z,24.4,0.0,894
2025-06-18T09:50:00Z,25.3,0.0,902
2025-06-18T10:00:00Z,23.5,0.0,839
2025-06-18T10:20:00Z,24.3,0.0,871
2025-06-18T10:30:00Z,24.8,0.0,912
2025-06-18T10:50:00Z,24.8,0.0,938
2025-06-18T11:00:00Z,26.5,0.0,922
2025-06-18T11:20:00Z,25.7,0.0,946
2025-06-18T11:20:00Z,25.7,0.0,977
2025-06-18T11:50:00Z,26.9,0.0,899
2025-06-18T12:00:00Z,26.5,0.0,892
2025-06-18T12:10:00Z,26.4,0.0,892
2025-06-18T12:30:00Z,26.6,0.0,887
2025-06-18T12:50:00Z,27.1,0.0,877
2025-06-18T13:00:00Z,27.5,0.0,822
2025-06-18T13:10:00Z,27.1,0.0,826
2025-06-18T13:30:00Z,27.7,0.0,826
2025-06-18T13:50:00Z,28.1,0.0,689
2025-06-18T14:00:00Z,28.0,0.0,690
2025-06-18T14:20:00Z,28.0,0.0,595
2025-06-18T14:30:00Z,27.4,0.0,600
