DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[deg], Elevation[deg], Message
 7.00000, 183.400,  60.500, Reference positions.

 7.00014, 145.000,  77.000, New tracking position
 7.01678, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.01680, 145.000, -14.000, New tracking position
 7.03345,  90.455,  33.060, Back to the Sun
 7.03347,  92.945, -27.431, Rotor position possibly out of range
 7.03347,  90.455,  33.060, Sun position possibly out of range
 7.05014,  92.764, -27.258, Rotor position possibly out of range
 7.05015,  90.636,  33.233, Sun position possibly out of range
 7.06681,  92.582, -27.085, Rotor position possibly out of range
 7.06681,  90.818,  33.406, Sun position possibly out of range
 7.08348,  92.400, -26.912, Rotor position possibly out of range
 7.08348,  91.000,  33.579, Sun position possibly out of range
 7.10016,  92.218, -26.739, Rotor position possibly out of range
 7.10016,  91.182,  33.752, Sun position possibly out of range
 7.11683,  92.035, -26.566, Rotor position possibly out of range
 7.11683,  91.365,  33.925, Sun position possibly out of range
 7.13351,  91.851, -26.393, Rotor position possibly out of range
 7.13351,  91.549,  34.097, Sun position possibly out of range
 7.15019,  91.668, -26.220, Rotor position possibly out of range
 7.15019,  91.732,  34.270, Sun position possibly out of range
 7.16685,  91.484, -26.048, Rotor position possibly out of range
 7.16685,  91.916,  34.443, Sun position possibly out of range
 7.18352,  91.299, -25.875, Rotor position possibly out of range
 7.18352,  92.101,  34.616, Sun position possibly out of range
 7.20019,  91.115, -25.702, Rotor position possibly out of range
 7.20019,  92.285,  34.789, Sun position possibly out of range
 7.21686,  90.929, -25.529, Rotor position possibly out of range
 7.21686,  92.471,  34.962, Sun position possibly out of range
 7.23352,  90.744, -25.356, Rotor position possibly out of range
 7.23352,  92.656,  35.135, Sun position possibly out of range
 7.25017, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.25020, 145.000,  77.000, New tracking position
 7.26685, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.26687, 145.000, -14.000, New tracking position
 7.28352,  93.216,  35.653, Back to the Sun
 7.28354,  90.184, -24.838, Rotor position possibly out of range
 7.28354,  93.216,  35.653, Sun position possibly out of range
 7.30022,  89.996, -24.665, Rotor position possibly out of range
 7.30022,  93.404,  35.826, Sun position possibly out of range
 7.31690,  89.808, -24.493, Rotor position possibly out of range
 7.31690,  93.592,  35.998, Sun position possibly out of range
 7.33356,  89.620, -24.320, Rotor position possibly out of range
 7.33356,  93.780,  36.171, Sun position possibly out of range
 7.35023,  89.431, -24.147, Rotor position possibly out of range
 7.35023,  93.969,  36.344, Sun position possibly out of range
 7.36691,  89.242, -23.975, Rotor position possibly out of range
 7.36691,  94.158,  36.516, Sun position possibly out of range
 7.38358,  89.052, -23.802, Rotor position possibly out of range
 7.38358,  94.348,  36.689, Sun position possibly out of range
 7.40024,  88.862, -23.630, Rotor position possibly out of range
 7.40024,  94.538,  36.861, Sun position possibly out of range
 7.41691,  88.671, -23.457, Rotor position possibly out of range
 7.41691,  94.729,  37.034, Sun position possibly out of range
 7.43358,  88.480, -23.285, Rotor position possibly out of range
 7.43358,  94.920,  37.206, Sun position possibly out of range
 7.45025,  88.288, -23.113, Rotor position possibly out of range
 7.45025,  95.112,  37.379, Sun position possibly out of range
 7.46693,  88.096, -22.940, Rotor position possibly out of range
 7.46693,  95.304,  37.551, Sun position possibly out of range
 7.48362,  87.903, -22.768, Rotor position possibly out of range
 7.48362,  95.497,  37.723, Sun position possibly out of range
 7.50025, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.50028, 145.000,  77.000, New tracking position
 7.51693, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.51695, 145.000, -14.000, New tracking position
 7.53359,  96.079,  38.240, Back to the Sun
 7.53362,  87.321, -22.252, Rotor position possibly out of range
 7.53362,  96.079,  38.240, Sun position possibly out of range
 7.55029,  87.126, -22.080, Rotor position possibly out of range
 7.55029,  96.274,  38.412, Sun position possibly out of range
 7.56696,  86.931, -21.908, Rotor position possibly out of range
 7.56696,  96.469,  38.584, Sun position possibly out of range
 7.58363,  86.734, -21.736, Rotor position possibly out of range
 7.58363,  96.666,  38.755, Sun position possibly out of range
 7.60029,  86.538, -21.564, Rotor position possibly out of range
 7.60029,  96.862,  38.927, Sun position possibly out of range
 7.61696,  86.340, -21.392, Rotor position possibly out of range
 7.61696,  97.060,  39.099, Sun position possibly out of range
 7.63363,  86.143, -21.221, Rotor position possibly out of range
 7.63363,  97.257,  39.271, Sun position possibly out of range
 7.65029,  85.944, -21.049, Rotor position possibly out of range
 7.65029,  97.456,  39.442, Sun position possibly out of range
 7.66696,  85.745, -20.878, Rotor position possibly out of range
 7.66696,  97.655,  39.614, Sun position possibly out of range
 7.68363,  85.546, -20.706, Rotor position possibly out of range
 7.68363,  97.854,  39.785, Sun position possibly out of range
 7.70030,  85.345, -20.535, Rotor position possibly out of range
 7.70030,  98.055,  39.957, Sun position possibly out of range
 7.71696,  85.144, -20.364, Rotor position possibly out of range
 7.71696,  98.256,  40.128, Sun position possibly out of range
 7.73364,  84.939, -20.190, Rotor position possibly out of range
 7.73364,  98.461,  40.302, Sun position possibly out of range
 7.75029, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.75031, 145.000,  77.000, New tracking position
 7.76696, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.76698, 145.000, -14.000, New tracking position
 7.78364,  99.069,  40.815, Back to the Sun
 7.78366,  84.331, -19.677, Rotor position possibly out of range
 7.78366,  99.069,  40.815, Sun position possibly out of range
 7.80033,  84.127, -19.506, Rotor position possibly out of range
 7.80033,  99.273,  40.986, Sun position possibly out of range
 7.81701,  83.922, -19.335, Rotor position possibly out of range
 7.81701,  99.478,  41.157, Sun position possibly out of range
 7.83368,  83.716, -19.164, Rotor position possibly out of range
 7.83368,  99.684,  41.327, Sun position possibly out of range
 7.85034,  83.510, -18.994, Rotor position possibly out of range
 7.85034,  99.890,  41.498, Sun position possibly out of range
 7.86675,  83.307, -18.826, Rotor position possibly out of range
 7.86675, 100.093,  41.665, Sun position possibly out of range
 7.88341,  83.099, -18.656, Rotor position possibly out of range
 7.88341, 100.301,  41.836, Sun position possibly out of range
 7.90008,  82.891, -18.486, Rotor position possibly out of range
 7.90008, 100.509,  42.006, Sun position possibly out of range
 7.91676,  82.682, -18.316, Rotor position possibly out of range
 7.91676, 100.718,  42.176, Sun position possibly out of range
 7.93343,  82.472, -18.146, Rotor position possibly out of range
 7.93343, 100.928,  42.346, Sun position possibly out of range
 7.95009,  82.261, -17.976, Rotor position possibly out of range
 7.95009, 101.139,  42.516, Sun position possibly out of range
 7.96677,  82.050, -17.806, Rotor position possibly out of range
 7.96677, 101.350,  42.685, Sun position possibly out of range
 7.98344,  81.838, -17.637, Rotor position possibly out of range
 7.98344, 101.562,  42.855, Sun position possibly out of range
 8.00010, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.00012, 145.000,  77.000, New tracking position
